name1,name2,P_values,Weights,Hurst Exponent,Half-Life
BTC-USD,USDC-USD,0.04677286369677515,"[[ 5.30560287e-06 -2.11078422e-04]
 [-8.39063314e+02  5.11734643e+00]]",0.45407202494765125,1.582526949548338
BTC-USD,DOGE-USD,0.04508686059214802,"[[ 1.07541870e-04  1.96119389e-04]
 [ 7.96750105e+01 -1.31949649e+01]]",0.3792795329129562,20.03283313971155
ETH-USD,USDT-USD,0.030818589256569048,"[[ 9.84047178e-04 -4.22328161e-03]
 [-1.31415822e+03 -1.89551246e+01]]",0.4961756828592265,8.32834482169464
ETH-USD,USDC-USD,0.023601142822435046,"[[ 9.77708917e-05  4.23318041e-03]
 [ 8.37639382e+02 -1.71361717e+01]]",0.4417859863631157,1.606404708953913
ETH-USD,STETH-USD,0.04813079919824811,"[[ 0.11954966 -0.00860653]
 [-0.11662445  0.01255172]]",0.2799288887201418,3.170422278316553
USDT-USD,BNB-USD,0.035151320790475844,"[[ 1.33459657e+03  1.44067290e+01]
 [-7.47054494e-03  2.46351653e-02]]",0.49376138723392415,8.480329776319138
USDT-USD,SOL-USD,0.031795777487436956,"[[ 1.28169313e+03 -1.18801131e+02]
 [-3.23004542e-03  1.90058216e-01]]",0.4420891777477264,9.689599741819986
USDT-USD,XRP-USD,0.003510379643007965,"[[1287.1965501   -62.78927903]
 [   2.13947438   10.9093434 ]]",0.46776674535658386,7.8954244208002535
USDT-USD,USDC-USD,2.8262158852255914e-11,"[[ 716.37473866 1635.65730867]
 [1113.76868802  418.34743724]]",0.4300972801249803,0.8695669258383789
USDT-USD,STETH-USD,0.03259866626533776,"[[ 1.31355846e+03  1.33002931e+01]
 [-9.39814555e-04  4.13672994e-03]]",0.4946109333174052,8.463625188796046
USDT-USD,ADA-USD,0.021037961140297903,"[[1301.60896266   50.68057553]
 [  -4.25114425   17.96378749]]",0.4593388396016428,7.9887529904755565
USDT-USD,AVAX-USD,0.03284429916753066,"[[ 1.32588749e+03 -7.89687695e+00]
 [-8.29465271e-02  3.12376626e-01]]",0.47339323512079523,8.533393949286364
USDT-USD,DOGE-USD,0.0004104042640991398,"[[1274.69371452  -59.26379241]
 [   6.38245088   75.88244867]]",0.40342020707866455,7.7024867552048475
USDT-USD,DOT-USD,0.04076315260551028,"[[ 1.30666526e+03 -2.43342228e+01]
 [-2.17700383e-01  1.14721131e+00]]",0.4739765594330336,8.605929260736605
USDT-USD,MATIC-USD,0.04362385741226683,"[[ 1.34018284e+03 -2.29479631e+01]
 [-1.32884280e+00  4.40025775e+00]]",0.49775164835176633,8.601609354022214
